Transmission Method,Total,Date
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1011,"July 29, 2020"
Travel Transmission,12,"July 29, 2020"
Community Transmission,1124,"July 29, 2020"
Under Investigation,1983,"July 29, 2020"
Community Close Contact Transmission,1841,"July 28, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1011,"July 28, 2020"
Travel Transmission,12,"July 28, 2020"
Community Transmission,1093,"July 28, 2020"
Under Investigation,1974,"July 28, 2020"
Community Close Contact Transmission,1811,"July 27, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1011,"July 27, 2020"
Travel Transmission,12,"July 27, 2020"
Community Transmission,1080,"July 27, 2020"
Under Investigation,1922,"July 27, 2020"
Community Close Contact Transmission,1637,"July 24, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1011,"July 24, 2020"
Travel Transmission,12,"July 24, 2020"
Community Transmission,1012,"July 24, 2020"
Under Investigation,1904,"July 24, 2020"
Community Close Contact Transmission,836,"July 23, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1010,"July 23, 2020"
Travel Transmission,12,"July 23, 2020"
Community Transmission,622,"July 23, 2020"
Under Investigation,2964,"July 23, 2020"
Community Close Contact Transmission,817,"July 22, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1010,"July 22, 2020"
Travel Transmission,12,"July 22, 2020"
Community Transmission,615,"July 22, 2020"
Under Investigation,2828,"July 22, 2020"
Community Close Contact Transmission,817,"July 21, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1010,"July 21, 2020"
Travel Transmission,12,"July 21, 2020"
Community Transmission,615,"July 21, 2020"
Under Investigation,2670,"July 21, 2020"
Community Close Contact Transmission,817,"July 20, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1009,"July 20, 2020"
Travel Transmission,12,"July 20, 2020"
Community Transmission,615,"July 20, 2020"
Under Investigation,2538,"July 20, 2020"
Community Close Contact Transmission,817,"July 17, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1007,"July 17, 2020"
Travel Transmission,12,"July 17, 2020"
Community Transmission,615,"July 17, 2020"
Under Investigation,2308,"July 17, 2020"
Community Close Contact Transmission,798,"July 16, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1001,"July 16, 2020"
Travel Transmission,12,"July 16, 2020"
Community Transmission,595,"July 16, 2020"
Under Investigation,2229,"July 16, 2020"
Community Close Contact Transmission,796,"July 15, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1000,"July 15, 2020"
Travel Transmission,12,"July 15, 2020"
Community Transmission,594,"July 15, 2020"
Under Investigation,2010,"July 15, 2020"
Community Close Contact Transmission,789,"July 14, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,998,"July 14, 2020"
Travel Transmission,12,"July 14, 2020"
Community Transmission,594,"July 14, 2020"
Under Investigation,1930,"July 14, 2020"
Community Close Contact Transmission,747,"July 13, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,998,"July 13, 2020"
Travel Transmission,12,"July 13, 2020"
Community Transmission,550,"July 13, 2020"
Under Investigation,1833,"July 13, 2020"
Community Close Contact Transmission,733,"July 10, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,998,"July 10, 2020"
Travel Transmission,12,"July 10, 2020"
Community Transmission,542,"July 10, 2020"
Under Investigation,1646,"July 10, 2020"
Community Close Contact Transmission,736,"July 9, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,998,"July 9, 2020"
Travel Transmission,12,"July 9, 2020"
Community Transmission,542,"July 9, 2020"
Under Investigation,1580,"July 9, 2020"
Community Close Contact Transmission,737,"July 8, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,984,"July 8, 2020"
Travel Transmission,12,"July 8, 2020"
Community Transmission,541,"July 8, 2020"
Under Investigation,1534,"July 8, 2020"
