Number of Cases by Gender,Daily,Community,Federal Prisonin Lompoc, Total  (Community & Prison),Date
Male,19,4491.0,1011.0,5502.0,"November 5, 2020"
Unknown,1,101.0,13.0,114.0,"November 5, 2020"
Pending,0,0.0,0.0,,"November 5, 2020"
Female,11,4446.0,2.0,4448.0,"November 4, 2020"
Male,17,4472.0,1011.0,5483.0,"November 4, 2020"
Unknown,0,100.0,13.0,113.0,"November 4, 2020"
Pending,0,0.0,0.0,,"November 4, 2020"
Female,11,4435.0,2.0,4437.0,"November 3, 2020"
Male,13,4455.0,1011.0,5466.0,"November 3, 2020"
Unknown,0,100.0,13.0,113.0,"November 3, 2020"
Pending,0,0.0,0.0,,"November 3, 2020"
Female,10,4424.0,2.0,4426.0,"November 2, 2020"
Male,5,4442.0,1011.0,5453.0,"November 2, 2020"
Unknown,0,100.0,13.0,113.0,"November 2, 2020"
Pending,0,0.0,0.0,,"November 2, 2020"
Female,14,4396.0,2.0,4398.0,"October 30, 2020"
Male,12,4422.0,1011.0,5433.0,"October 30, 2020"
Unknown,0,100.0,13.0,113.0,"October 30, 2020"
Pending,0,0.0,0.0,,"October 30, 2020"
Female,18,4382.0,2.0,4384.0,"October 29, 2020"
Male,15,4411.0,1011.0,5422.0,"October 29, 2020"
Unknown,0,100.0,13.0,113.0,"October 29, 2020"
Pending,0,0.0,0.0,,"October 29, 2020"
Female,10,4364.0,2.0,4366.0,"October 28, 2020"
Male,13,4396.0,1011.0,5407.0,"October 28, 2020"
Unknown,0,100.0,13.0,113.0,"October 28, 2020"
Pending,0,0.0,0.0,,"October 28, 2020"
Female,20,4354.0,2.0,4356.0,"October 27, 2020"
Male,22,4383.0,1011.0,5394.0,"October 27, 2020"
Unknown,1,100.0,13.0,113.0,"October 27, 2020"
Pending,0,0.0,0.0,,"October 27, 2020"
Female,6,4334.0,2.0,4336.0,"October 26, 2020"
Male,6,4361.0,1011.0,5372.0,"October 26, 2020"
Unknown,0,99.0,13.0,112.0,"October 26, 2020"
Pending,0,0.0,0.0,,"October 26, 2020"
Female,24,4303.0,2.0,4305.0,"October 23, 2020"
Male,20,4333.0,1011.0,5344.0,"October 23, 2020"
Unknown,1,98.0,13.0,111.0,"October 23, 2020"
Pending,0,0.0,0.0,,"October 23, 2020"
Female,17,4279.0,2.0,4281.0,"October 22, 2020"
Male,9,4313.0,1011.0,5324.0,"October 22, 2020"
Unknown,1,97.0,13.0,110.0,"October 22, 2020"
Pending,0,0.0,0.0,,"October 22, 2020"
Female,13,4262.0,2.0,4264.0,"October 21, 2020"
Male,6,4304.0,1011.0,5315.0,"October 21, 2020"
Unknown,1,96.0,13.0,109.0,"October 21, 2020"
Pending,0,0.0,0.0,,"October 21, 2020"
Female,16,4250.0,2.0,4252.0,"October 20, 2020"
Male,13,4300.0,1011.0,5311.0,"October 20, 2020"
Unknown,1,95.0,13.0,108.0,"October 20, 2020"
Pending,0,0.0,0.0,,"October 20, 2020"
Female,9,4234.0,2.0,4236.0,"October 19, 2020"
Male,15,4287.0,1011.0,5298.0,"October 19, 2020"
Unknown,0,94.0,13.0,107.0,"October 19, 2020"
Pending,0,0.0,0.0,,"October 19, 2020"
Female,11,4193.0,2.0,4195.0,"October 16, 2020"
Male,12,4247.0,1011.0,5258.0,"October 16, 2020"
Unknown,0,94.0,13.0,107.0,"October 16, 2020"
Pending,0,0.0,0.0,,"October 16, 2020"
Female,10,4182.0,2.0,4184.0,"October 15, 2020"
Male,10,4238.0,1011.0,5249.0,"October 15, 2020"
Unknown,0,94.0,13.0,107.0,"October 15, 2020"
Pending,0,0.0,0.0,,"October 15, 2020"
Female,11,4172.0,2.0,4174.0,"October 14, 2020"
Male,8,4228.0,1011.0,5239.0,"October 14, 2020"
Unknown,0,94.0,13.0,107.0,"October 14, 2020"
Pending,0,0.0,0.0,,"October 14, 2020"
Female,11,4161.0,2.0,4163.0,"October 13, 2020"
Male,17,4222.0,1011.0,5233.0,"October 13, 2020"
Unknown,0,94.0,13.0,107.0,"October 13, 2020"
Pending,1,0.0,0.0,,"October 13, 2020"
Female,12,4150.0,2.0,4152.0,"October 12, 2020"
Male,12,4206.0,1010.0,5216.0,"October 12, 2020"
Unknown,0,94.0,13.0,107.0,"October 12, 2020"
Pending,0,0.0,0.0,0.0,"October 12, 2020"
Female,12,4107.0,2.0,4109.0,"October 9, 2020"
Male,9,4183.0,1010.0,5193.0,"October 9, 2020"
Unknown,1,93.0,13.0,106.0,"October 9, 2020"
Pending,0,0.0,0.0,0.0,"October 9, 2020"
Female,14,4095.0,2.0,4097.0,"October 8, 2020"
Male,10,4175.0,1010.0,5185.0,"October 8, 2020"
Unknown,0,92.0,13.0,105.0,"October 8, 2020"
Pending,0,0.0,0.0,0.0,"October 8, 2020"
Female,14,4081.0,2.0,4083.0,"October 7, 2020"
Male,9,4165.0,1010.0,5175.0,"October 7, 2020"
Unknown,0,92.0,13.0,105.0,"October 7, 2020"
Pending,0,0.0,0.0,0.0,"October 7, 2020"
Female,12,4067.0,2.0,4069.0,"October 6, 2020"
Male,9,4156.0,1010.0,5166.0,"October 6, 2020"
Unknown,0,92.0,13.0,105.0,"October 6, 2020"
Pending,1,0.0,0.0,1.0,"October 6, 2020"
Female,24,4056.0,2.0,4058.0,"October 5, 2020"
Male,11,4147.0,1009.0,5156.0,"October 5, 2020"
Unknown,0,92.0,13.0,105.0,"October 5, 2020"
Pending,0,0.0,0.0,,"October 5, 2020"
Female,17,4013.0,2.0,4015.0,"October 2, 2020"
Male,9,4120.0,1009.0,5129.0,"October 2, 2020"
Unknown,0,92.0,13.0,105.0,"October 2, 2020"
Pending,0,0.0,0.0,,"October 2, 2020"
Female,17,3996.0,2.0,3998.0,"October 1, 2020"
Male,9,4111.0,1009.0,5120.0,"October 1, 2020"
Unknown,0,92.0,13.0,105.0,"October 1, 2020"
Pending,0,0.0,0.0,,"October 1, 2020"
Female,19,3979.0,2.0,3981.0,"September 30, 2020"
Male,24,4102.0,1009.0,5111.0,"September 30, 2020"
Unknown,1,92.0,13.0,105.0,"September 30, 2020"
Pending,0,0.0,0.0,,"September 30, 2020"
Female,11,3960.0,2.0,3962.0,"September 29, 2020"
Male,20,4089.0,1009.0,5098.0,"September 29, 2020"
Unknown,1,91.0,13.0,104.0,"September 29, 2020"
Pending,0,0.0,0.0,,"September 29, 2020"
Female,19,3950.0,2.0,3952.0,"September 28, 2020"
Male,11,4069.0,1009.0,5078.0,"September 28, 2020"
Unknown,0,90.0,13.0,103.0,"September 28, 2020"
Pending,0,0.0,0.0,,"September 28, 2020"
Female,17,3896.0,2.0,3898.0,"September 25, 2020"
Male,18,4027.0,1009.0,5036.0,"September 25, 2020"
Unknown,0,90.0,13.0,103.0,"September 25, 2020"
Pending,0,0.0,0.0,,"September 25, 2020"
Female,16,3880.0,2.0,3882.0,"September 24, 2020"
Male,13,4009.0,1009.0,5018.0,"September 24, 2020"
Unknown,1,90.0,13.0,103.0,"September 24, 2020"
Pending,0,0.0,0.0,,"September 24, 2020"
Female,13,3864.0,2.0,3866.0,"September 23, 2020"
Male,9,3996.0,1009.0,5005.0,"September 23, 2020"
Unknown,0,89.0,13.0,102.0,"September 23, 2020"
Pending,0,0.0,0.0,,"September 23, 2020"
Female,16,3852.0,2.0,3854.0,"September 22, 2020"
Male,9,3987.0,1009.0,4996.0,"September 22, 2020"
Unknown,0,89.0,13.0,102.0,"September 22, 2020"
Pending,0,0.0,0.0,,"September 22, 2020"
Female,16,3838.0,2.0,3840.0,"September 21, 2020"
Male,13,3979.0,1009.0,4988.0,"September 21, 2020"
Unknown,0,89.0,13.0,102.0,"September 21, 2020"
Pending,0,0.0,0.0,,"September 21, 2020"
Female,14,3791.0,2.0,3793.0,"September 18, 2020"
Male,27,3940.0,1011.0,4951.0,"September 18, 2020"
Unknown,0,89.0,13.0,102.0,"September 18, 2020"
Pending,2,0.0,0.0,,"September 18, 2020"
Female,10,3777.0,2.0,3779.0,"September 17, 2020"
Male,9,3913.0,1009.0,4922.0,"September 17, 2020"
Unknown,0,89.0,13.0,102.0,"September 17, 2020"
Pending,0,0.0,0.0,,"September 17, 2020"
Female,18,3767.0,2.0,3769.0,"September 16, 2020"
Male,26,3905.0,1009.0,4914.0,"September 16, 2020"
Unknown,0,89.0,13.0,102.0,"September 16, 2020"
Pending,0,0.0,0.0,,"September 16, 2020"
Female,16,3749.0,2.0,3751.0,"September 15, 2020"
Male,10,3879.0,1009.0,4888.0,"September 15, 2020"
Unknown,0,89.0,13.0,102.0,"September 15, 2020"
Pending,0,0.0,0.0,,"September 15, 2020"
Female,12,3734.0,2.0,3736.0,"September 14, 2020"
Male,11,3871.0,1009.0,4880.0,"September 14, 2020"
Unknown,0,89.0,13.0,102.0,"September 14, 2020"
Pending,0,0.0,0.0,,"September 14, 2020"
Female,16,3672.0,2.0,3674.0,"September 11, 2020"
Male,14,3824.0,1009.0,4833.0,"September 11, 2020"
Unknown,0,88.0,13.0,101.0,"September 11, 2020"
Pending,0,0.0,0.0,,"September 11, 2020"
Female,17,3657.0,2.0,3642.0,"September 10, 2020"
Male,13,3810.0,1009.0,4819.0,"September 10, 2020"
Unknown,0,88.0,13.0,101.0,"September 10, 2020"
Pending,0,0.0,0.0,,"September 10, 2020"
Female,25,3640.0,2.0,3642.0,"September 9, 2020"
Male,22,3797.0,1009.0,4806.0,"September 9, 2020"
Unknown,3,89.0,13.0,102.0,"September 9, 2020"
Pending,1,0.0,0.0,,"September 9, 2020"
Female,0,3615.0,2.0,3617.0,"September 8, 2020"
Male,2,3775.0,1008.0,4783.0,"September 8, 2020"
Unknown,1,86.0,13.0,99.0,"September 8, 2020"
Pending,0,0.0,0.0,,"September 8, 2020"
Female,21,3554.0,2.0,3556.0,"September 4, 2020"
Male,41,3716.0,1008.0,4724.0,"September 4, 2020"
Unknown,2,68.0,13.0,81.0,"September 4, 2020"
Pending,3,0.0,0.0,,"September 4, 2020"
Female,41,3534.0,2.0,3536.0,"September 3, 2020"
Male,30,3677.0,1008.0,4685.0,"September 3, 2020"
Unknown,0,66.0,13.0,79.0,"September 3, 2020"
Pending,3,0.0,0.0,,"September 3, 2020"
Female,36,3493.0,2.0,3495.0,"September 2, 2020"
Male,28,3648.0,1007.0,4655.0,"September 2, 2020"
Unknown,2,66.0,13.0,79.0,"September 2, 2020"
Pending,3,0.0,0.0,,"September 2, 2020"
Female,7,3457.0,2.0,3459.0,"September 1, 2020"
Male,13,3621.0,1007.0,4628.0,"September 1, 2020"
Unknown,0,64.0,13.0,77.0,"September 1, 2020"
Pending,3,0.0,0.0,,"September 1, 2020"
Female,25,3450.0,2.0,3452.0,"August 31, 2020"
Male,20,3610.0,1004.0,4614.0,"August 31, 2020"
Unknown,1,64.0,13.0,77.0,"August 31, 2020"
Pending,0,0.0,0.0,,"August 31, 2020"
Female,30,3396.0,2.0,3398.0,"August 28, 2020"
Male,34,3540.0,1004.0,4544.0,"August 28, 2020"
Unknown,3,59.0,13.0,72.0,"August 28, 2020"
Pending,0,0.0,0.0,,"August 28, 2020"
Female,17,3368.0,2.0,3370.0,"August 27, 2020"
Male,18,3508.0,1004.0,4512.0,"August 27, 2020"
Unknown,0,56.0,13.0,69.0,"August 27, 2020"
Pending,0,0.0,0.0,,"August 27, 2020"
Female,20,3351.0,2.0,3353.0,"August 26, 2020"
Male,27,3490.0,1004.0,4494.0,"August 26, 2020"
Unknown,0,56.0,13.0,69.0,"August 26, 2020"
Pending,0,0.0,0.0,,"August 26, 2020"
Female,37,3331.0,2.0,3333.0,"August 25, 2020"
Male,30,3463.0,1004.0,4467.0,"August 25, 2020"
Unknown,3,56.0,13.0,69.0,"August 25, 2020"
Pending,0,0.0,0.0,,"August 25, 2020"
Female,37,3331.0,2.0,3333.0,"August 25, 2020"
Male,30,3463.0,1004.0,4467.0,"August 25, 2020"
Unknown,3,56.0,13.0,69.0,"August 25, 2020"
Pending,0,0.0,0.0,,"August 25, 2020"
Female,37,3295.0,2.0,3297.0,"August 24, 2020"
Male,23,3433.0,1004.0,4437.0,"August 24, 2020"
Unknown,1,53.0,13.0,66.0,"August 24, 2020"
Pending,0,0.0,0.0,,"August 24, 2020"
Female,32,3219.0,2.0,3221.0,"August 21, 2020"
Male,42,3364.0,1004.0,4368.0,"August 21, 2020"
Unknown,7,51.0,13.0,64.0,"August 21, 2020"
Pending,0,0.0,0.0,,"August 21, 2020"
Female,32,3188.0,2.0,3190.0,"August 20, 2020"
Male,37,3326.0,1004.0,4330.0,"August 20, 2020"
Unknown,2,45.0,13.0,58.0,"August 20, 2020"
Pending,0,0.0,0.0,,"August 20, 2020"
Female,13,3150.0,2.0,3152.0,"August 19, 2020"
Male,14,3283.0,1004.0,4287.0,"August 19, 2020"
Unknown,0,56.0,13.0,69.0,"August 19, 2020"
Pending,0,0.0,0.0,,"August 19, 2020"
Female,12,3137.0,2.0,3139.0,"August 18, 2020"
Male,14,3269.0,1004.0,4273.0,"August 18, 2020"
Unknown,3,56.0,13.0,69.0,"August 18, 2020"
Pending,0,0.0,0.0,,"August 18, 2020"
Female,41,3125.0,2.0,3127.0,"August 17, 2020"
Male,34,3257.0,1004.0,4261.0,"August 17, 2020"
Unknown,1,53.0,13.0,66.0,"August 17, 2020"
Pending,0,0.0,0.0,,"August 17, 2020"
Female,59,3028.0,2.0,3030.0,"August 14, 2020"
Male,74,3179.0,1004.0,4183.0,"August 14, 2020"
Unknown,4,48.0,13.0,61.0,"August 14, 2020"
Pending,0,0.0,0.0,,"August 14, 2020"
Female,34,2975.0,2.0,2977.0,"August 13, 2020"
Male,40,3110.0,1004.0,4114.0,"August 13, 2020"
Unknown,1,44.0,13.0,57.0,"August 13, 2020"
Pending,0,0.0,0.0,,"August 13, 2020"
Female,7,2947.0,2.0,2940.0,"August 12, 2020"
Male,9,3074.0,1004.0,4078.0,"August 12, 2020"
Unknown,0,43.0,13.0,56.0,"August 12, 2020"
Pending,0,0.0,0.0,,"August 12, 2020"
Female,38,2944.0,2.0,2946.0,"August 11, 2020"
Male,40,3068.0,1004.0,4072.0,"August 11, 2020"
Unknown,0,43.0,13.0,56.0,"August 11, 2020"
Pending,0,0.0,0.0,,"August 11, 2020"
Female,99,2906.0,2.0,2908.0,"August 10, 2020"
Male,81,3028.0,1004.0,4032.0,"August 10, 2020"
Unknown,7,43.0,13.0,56.0,"August 10, 2020"
Pending,0,0.0,0.0,,"August 10, 2020"
Female,32,2763.0,2.0,2765.0,"August 7, 2020"
Male,26,2889.0,1004.0,3893.0,"August 7, 2020"
Unknown,0,33.0,13.0,46.0,"August 7, 2020"
Pending,0,0.0,0.0,,"August 7, 2020"
Female,32,2733.0,2.0,2735.0,"August 6, 2020"
Male,44,2867.0,1004.0,3871.0,"August 6, 2020"
Unknown,1,33.0,13.0,46.0,"August 6, 2020"
Pending,0,2.0,0.0,,"August 6, 2020"
Female,27,2705.0,2.0,2707.0,"August 5, 2020"
Male,33,2830.0,1004.0,3834.0,"August 5, 2020"
Unknown,0,32.0,13.0,45.0,"August 5, 2020"
Pending,0,0.0,0.0,,"August 5, 2020"
Female,29,2678.0,2.0,2680.0,"August 4, 2020"
Male,33,2797.0,1004.0,3801.0,"August 4, 2020"
Unknown,0,32.0,13.0,45.0,"August 4, 2020"
Pending,0,0.0,0.0,,"August 4, 2020"
Female,13,2649.0,2.0,2651.0,"August 3, 2020"
Male,18,2764.0,1004.0,3768.0,"August 3, 2020"
Unknown,0,32.0,13.0,45.0,"August 3, 2020"
Pending,0,0.0,0.0,,"August 3, 2020"
Female,29,2502.0,2.0,2504.0,"July 31, 2020"
Male,45,2623.0,996.0,3619.0,"July 31, 2020"
Unknown,0,31.0,13.0,44.0,"July 31, 2020"
Pending,0,0.0,0.0,,"July 31, 2020"
Female,29,2473.0,2.0,2475.0,"July 30, 2020"
Male,43,2579.0,996.0,3575.0,"July 30, 2020"
Unknown,1,31.0,13.0,44.0,"July 30, 2020"
Pending,0,0.0,0.0,,"July 30, 2020"
Female,47,2444.0,2.0,2446.0,"July 29, 2020"
Male,42,2536.0,996.0,3532.0,"July 29, 2020"
Unknown,2,30.0,13.0,43.0,"July 29, 2020"
Pending,0,0.0,0.0,,"July 29, 2020"
Female,50,2398.0,2.0,2400.0,"July 28, 2020"
Male,48,2494.0,996.0,3490.0,"July 28, 2020"
Unknown,0,28.0,13.0,41.0,"July 28, 2020"
Pending,0,0.0,0.0,,"July 28, 2020"
Female,51,2348.0,2.0,2350.0,"July 27, 2020"
Male,26,2449.0,996.0,3445.0,"July 27, 2020"
Unknown,0,28.0,13.0,41.0,"July 27, 2020"
Pending,0,0.0,0.0,,"July 27, 2020"
Female,58,2224.0,2.0,2226.0,"July 24, 2020"
Male,73,2311.0,996.0,3307.0,"July 24, 2020"
Unknown,1,39.0,13.0,52.0,"July 24, 2020"
Pending,0,0.0,0.0,,"July 24, 2020"
Female,87,2162.0,2.0,2164.0,"July 23, 2020"
Male,75,2233.0,995.0,3228.0,"July 23, 2020"
Unknown,0,39.0,13.0,52.0,"July 23, 2020"
Pending,0,0.0,0.0,,"July 23, 2020"
Female,83,2075.0,2.0,2077.0,"July 22, 2020"
Male,76,2158.0,995.0,3153.0,"July 22, 2020"
Unknown,1,39.0,13.0,52.0,"July 22, 2020"
Pending,0,0.0,0.0,,"July 22, 2020"
Female,70,1992.0,2.0,1994.0,"July 21, 2020"
Male,60,2084.0,995.0,3079.0,"July 21, 2020"
Unknown,4,38.0,13.0,51.0,"July 21, 2020"
Pending,1,0.0,0.0,,"July 21, 2020"
Female,33,1922.0,2.0,1924.0,"July 20, 2020"
Male,43,2026.0,994.0,3020.0,"July 20, 2020"
Unknown,0,34.0,13.0,47.0,"July 20, 2020"
Pending,0,0.0,0.0,0.0,"July 20, 2020"
Female,56,1821.0,2.0,1823.0,"July 17, 2020"
Male,75,1902.0,992.0,2894.0,"July 17, 2020"
Unknown,0,29.0,13.0,42.0,"July 17, 2020"
Pending,6,0.0,0.0,6.0,"July 17, 2020"
Female,110,1771.0,2.0,1773.0,"July 16, 2020"
Male,106,1834.0,986.0,2713.0,"July 16, 2020"
Unknown,7,29.0,13.0,42.0,"July 16, 2020"
Pending,1,0.0,0.0,1.0,"July 16, 2020"
Female,42,1662.0,2.0,1664.0,"July 15, 2020"
Male,47,1728.0,985.0,2713.0,"July 15, 2020"
Unknown,0,22.0,13.0,35.0,"July 15, 2020"
Pending,0,0.0,0.0,0.0,"July 15, 2020"
Female,99,1620.0,2.0,1622.0,"July 14, 2020"
Male,85,1683.0,983.0,2666.0,"July 14, 2020"
Unknown,0,22.0,13.0,35.0,"July 14, 2020"
Pending,0,0.0,0.0,0.0,"July 14, 2020"
Female,27,1535.0,2.0,1537.0,"July 13, 2020"
Male,29,1585.0,983.0,2568.0,"July 13, 2020"
Unknown,0,22.0,13.0,35.0,"July 13, 2020"
Pending,0,0.0,0.0,0.0,"July 13, 2020"
Female,46,1439.0,2.0,1441.0,"July 10, 2020"
Male,27,1473.0,983.0,2456.0,"July 10, 2020"
Unknown,2,21.0,13.0,34.0,"July 10, 2020"
Pending,0,0.0,0.0,0.0,"July 10, 2020"
Female,36,1398.0,2.0,1400.0,"July 9, 2020"
Male,29,1453.0,983.0,2436.0,"July 9, 2020"
Unknown,0,19.0,13.0,32.0,"July 9, 2020"
Pending,0,0.0,0.0,0.0,"July 9, 2020"
Female,61,1364.0,2.0,1366.0,"July 8, 2020"
Male,60,1443.0,969.0,2412.0,"July 8, 2020"
Unknown,0,17.0,13.0,30.0,"July 8, 2020"
Pending,0,0.0,0.0,0.0,"July 8, 2020"
